,時間戳記,照片 Picture,品牌 Brand,衣服長度 Clothes Length,服裝部位 Clothing Part,上半身 衣服種類 Top Clothing Type,下半身衣服種類 Bottom Clothing Type,價格 Price
0,2024/10/22 下午 11:29:32,https://drive.google.com/open?id=1Ki8gALrL6WEyGeBkwZQdO5J5pfnufz37,H&M,短 short,上半身 Top,T-Shirt,,499
1,2024/10/22 下午 11:38:06,https://drive.google.com/open?id=1rsB7XhHjAww6w9RjucSgiJSnkEO5r_PL,H&M,長 long,上半身 Top,Shirt,,999
2,2024/10/22 下午 11:39:54,https://drive.google.com/open?id=1BEUPTgjmZ0uZS5Llj5Btd8xOw-oxyeuW,H&M,長 long,洋裝 Dress,,,699
3,2024/10/22 下午 11:48:38,https://drive.google.com/open?id=12MW0xvZVVNVoMt-YUGUnPVzg_v_Z5-F-,H&M,長 long,下半身 Bottom,,西裝褲 dress pants,999
4,2024/10/22 下午 11:49:21,https://drive.google.com/open?id=1rj0PNtlTPp5O0Vur_aymMQkDBP4y7Iv6,H&M,長 long,下半身 Bottom,,工裝褲/裙 cargo pants/skirt,699
5,2024/10/22 下午 11:50:18,https://drive.google.com/open?id=1_yRapskmxZj4dERJUO5pND4RjambTjBh,H&M,短 short,下半身 Bottom,,百褶裙 pleated skirt,499
6,2024/10/22 下午 11:52:50,https://drive.google.com/open?id=194rob0hg4wz18wAlj0Ku-f70mJ42w-lj,H&M,短 short,上半身 Top,T-Shirt,,349
7,2024/10/22 下午 11:53:53,https://drive.google.com/open?id=1hWolA4U0wayWd4Y3KPhYS9ctHijBweNr,H&M,短 short,上半身 Top,T-Shirt,,299
8,2024/10/22 下午 11:54:55,https://drive.google.com/open?id=1kegf_abtotEpe5xCwwTOEQeuJ6lxr9K9,H&M,短 short,下半身 Bottom,,運動褲/裙 sweat pants / sports skirt,299
9,2024/10/22 下午 11:57:06,https://drive.google.com/open?id=1TZWt67rvwaGWkzQFgA8DqvRt-LKk8IXK,H&M,長 long,洋裝 Dress,,,699
10,2024/10/23 上午 12:00:53,https://drive.google.com/open?id=1vAwHLaRQ4-S-ZWzdPJJptioHNhe7VbCx,H&M,長 long,下半身 Bottom,,緊身褲 leggings,699
11,2024/10/23 上午 12:02:00,https://drive.google.com/open?id=1L44BHTcqw52Li-ZFOyLrmPvj8z_G5aQv,H&M,長 long,下半身 Bottom,,緊身褲 leggings,649
12,2024/10/23 上午 12:02:46,https://drive.google.com/open?id=13cfQ2Y-YcgHK5Igv4FYwZjTJLy7zZdXH,H&M,短 short,上半身 Top,背心 Vest,,1499
13,2024/10/23 上午 12:04:43,https://drive.google.com/open?id=1bqfSkwk-z36c88wh-ijBXQvTGRXvVBqm,H&M,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,899
14,2024/10/23 上午 12:06:38,https://drive.google.com/open?id=1TwP5cbOVpvu2DD9PlbGiTqG3NNy2bYoW,H&M,短 short,上半身 Top,T-Shirt,,249
15,2024/10/23 上午 12:07:46,https://drive.google.com/open?id=1XfmGvobSXptAUv65HOjEMP2_QuDhhLsw,H&M,短 short,上半身 Top,背心 Vest,,349
16,2024/10/23 上午 12:08:44,https://drive.google.com/open?id=1BXyNsuzt5yLsHIXL4nsNvLDh_aP1qy7d,H&M,長 long,洋裝 Dress,,,699
17,2024/10/23 上午 12:09:39,https://drive.google.com/open?id=1kFjBjbcB6oAVkqA0rp2V2hHlrbR3ReQR,H&M,短 short,上半身 Top,T-Shirt,,349
18,2024/10/23 上午 12:11:26,https://drive.google.com/open?id=1ta7F8hpERyZsdj4rJo0agG9AEUXsWH94,H&M,短 short,上半身 Top,T-Shirt,,449
19,2024/10/23 上午 12:18:23,https://drive.google.com/open?id=1CNJoeV8lkdA1Rf-edT_XoxzElloqXJYH,H&M,短 short,上半身 Top,T-Shirt,,449
20,2024/10/23 上午 12:18:51,https://drive.google.com/open?id=1avchOiRWzllBVuatNbFc6W1Ege7keEMx,H&M,短 short,上半身 Top,T-Shirt,,449
21,2024/10/23 上午 12:19:23,https://drive.google.com/open?id=18FqZMBsKXjBm_HyRNv5iCmcUpFAI4rh3,H&M,短 short,上半身 Top,T-Shirt,,449
22,2024/10/23 上午 12:19:54,https://drive.google.com/open?id=1OjdMKjDDDG3_3YYFYzF1kpvBIQaE-0zM,H&M,短 short,上半身 Top,T-Shirt,,449
23,2024/10/23 上午 12:20:36,https://drive.google.com/open?id=1b6BYJebCX6E1_N6nTHL_q9ahxUHwU0Ap,H&M,短 short,上半身 Top,T-Shirt,,499
24,2024/10/23 上午 12:22:27,https://drive.google.com/open?id=1w2RiH4Cubuablsfq6wRQ3HuxKIsMTUNI,H&M,短 short,上半身 Top,T-Shirt,,499
25,2024/10/23 上午 12:22:53,https://drive.google.com/open?id=1UD_h7nscvybiFCEgStd89LpqF9t012sb,H&M,短 short,上半身 Top,T-Shirt,,499
26,2024/10/23 上午 12:23:15,https://drive.google.com/open?id=1gos-JKCa7zfBO0FJyJKYCxxwVCd6NgVw,H&M,短 short,上半身 Top,T-Shirt,,499
27,2024/10/23 上午 12:24:16,https://drive.google.com/open?id=1poLhyqpW0lxqfnnEpAjEz1fFV8objNox,H&M,短 short,上半身 Top,T-Shirt,,199
28,2024/10/23 上午 12:25:17,https://drive.google.com/open?id=1e-wxPNIpv7SPuGepqRZEGsSxNStESjy1,H&M,長 long,下半身 Bottom,,緊身褲 leggings,649
29,2024/10/23 上午 12:26:18,https://drive.google.com/open?id=1a_6ppm-tX_7yGlT2r9nYz5FkoC5LiOOq,H&M,短 short,洋裝 Dress,,,1499
30,2024/10/23 上午 12:26:53,https://drive.google.com/open?id=13HOmV7c178oTIQsVlQVNXJPmT6SX8K9P,H&M,短 short,洋裝 Dress,,,999
31,2024/10/23 上午 12:28:18,https://drive.google.com/open?id=1rJcAxqFL3pCCRmsCLc17EAi8_MjJVq-U,H&M,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,699
32,2024/10/23 上午 12:29:09,https://drive.google.com/open?id=1iUy2iEHsYQL1DI18ww-oTeHz3Rs0Bglo,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,3499
33,2024/10/23 上午 12:29:59,https://drive.google.com/open?id=1WQirNETt3e5_DqWge7RhC9hyh2b1towF,H&M,長 long,上半身 Top,外套 Jacket,,1799
34,2024/10/23 上午 12:30:47,https://drive.google.com/open?id=19-2lA2xJmUavViSWuXVY734DBLwUK_XR,H&M,長 long,下半身 Bottom,,西裝褲 dress pants,499
35,2024/10/23 上午 12:31:51,https://drive.google.com/open?id=1MRUAm_-oyf8datYHZXjAh5MLgn9VfvQb,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,799
36,2024/10/23 上午 12:32:49,https://drive.google.com/open?id=16uggpJd-4-4xq-mO4rHgieFoWzCzvDsC,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,699
